,0,1,2,3,4
intercept,1.8078398281142913,2.0167262777227437,-2.7255206028807724,0.5083504186858516,-1.6073959216420945
nom_com,0.38057580706114336,0.36723944810653864,-1.3283012920513508,-0.3169974475277602,0.8974834844114257
insee_com,0.38057580706114336,0.36723944810653864,-1.3283012920513508,-0.3169974475277602,0.8974834844114257
nom_station,0.059635832734156624,0.06125807141921821,-0.39417172803991274,-0.690074825981311,0.9633526498678467
code_station,-0.4322225324304898,-0.3899800810869824,1.481798832488953,-0.23162135538055212,-0.4279748635909315
typologie,0.29101001898018153,0.28709718288950203,-0.8277300427124971,0.21595296190587354,0.033669878936935
influence,0.11733473337336421,0.10372569370101702,-0.34762707171065454,0.27382965022086275,-0.14726300558459046
valeur,-0.8534606985505842,-0.045929914294673226,1.047329926437044,-0.1252229623519081,-0.022716351239875875
lat,0.22597597525012983,0.19292875504236004,-0.9390051632283257,-0.17666989062891064,0.6967703235647487
long,-0.22733168541604923,-0.2111884429266275,0.5722588593840718,-0.6428415138657684,0.5091027828243699
jour_semaine_debut,-0.016606166327942887,-0.017581386536809084,0.012962952041307376,0.013426194969662925,0.007798405853782161
jour_semaine_fin,-0.016606166327942887,-0.017581386536809084,0.012962952041307376,0.013426194969662925,0.007798405853782161
jour_debut,-0.01660616632794002,-0.017581386536808328,0.012962952041306822,0.013426194969661692,0.007798405853782496
jour_fin,-0.01660616632794002,-0.017581386536808328,0.012962952041306822,0.013426194969661692,0.007798405853781904
heure_debut,-0.0030442516651368605,-0.030395240011445376,0.03443397559607506,-0.008222462179637176,0.007227978260148242
heure_fin,-0.0030442516651368605,-0.030395240011445376,0.03443397559607506,-0.008222462179637176,0.007227978260148242
