Année ;2012;2013;2014;2015;2016;2017;
Nombre total de demandes de vérification DAI portant sur TAJ (ex STIC/JUDEX) reçues;3042;3670;3272;3182;4334;4918;
Nombre de vérifications individuelles réalisées auprès de la police nationale;1227;1144;1623;1740;2307;2831;
Nombre de personnes inconnues;305;318;328;319;614;601;
Nombre de personnes enregistrées uniquement en tant que victimes;276;223;335;348;348;485;
Nombre de fiches de personnes « mises en cause » vérifiées : ;646;603;960;1073;1345;1745;
Dont pourcentage de fiches supprimées ;18;21;17;16;15;17;
Dont pourcentage de fiches mises à jour par mention des décisions judiciaires favorables ayant pour effet de rendre la personne inconnue du fichier sous son profil de consultation administrative (enquêtes administratives);18;26;18;16;21,5;18;
Dont pourcentage de fiches rectifiées ayant pour effet de réduire le délai global de conservation ;2;1;1;1;0,5;0,5;
Dont pourcentage de fiches examinées avec maintien de l'enregistrement (fiches exactes, rectifications mineures sans incidence sur la durée de conservation, défauts de réponse des parquets …);62;52;64;67;63;64,5;
Nombre de vérifications individuelles réalisées auprès de la gendarmerie nationale;1494;1756;1626;1562;1973;2087;
Nombre de personnes inconnues;1141;1385;1151;1069;1397;1295;
Nombre de personnes enregistrées uniquement en tant que victimes;106;113;118;139;188;271;
Nombre de fiches de personnes « mises en cause » vérifiées : ;252;258;357;354;388;521;
Dont pourcentage de fiches supprimées ;21;17;21;15;16;25;
Dont pourcentage de fiches mises à jour par mention des décisions judiciaires favorables ayant pour effet de rendre la personne inconnue du fichier sous son profil de consultation administrative (enquêtes administratives);20;29;24;42;39;34;
Dont pourcentage de fiches rectifiées ayant pour effet de réduire le délai global de conservation ;1;1;1;1;0,5;0,5;
Dont pourcentage de fiches examinées avec maintien de l'enregistrement (fiches exactes, rectifications mineures sans incidence sur la durée de conservation, défauts de réponse des parquets…);58;53;54;42;44,5;40,5;
