feature,shap_importance
NbChambres,26.984446726134166
Type_logement,5.461680876778944
Piscine,1.6847760215297494
Capacite_accueil,1.4867528026705337
Description_des,0.4693475896391726
reglement_interieur_du,0.14285198718723294
Description_station,0.0
Description_très,0.0
Description_transports,0.0
Description_tramway,0.0
Description_tram,0.0
Description_tout,0.0
Description_tous,0.0
Description_séjour,0.0
Description_sur,0.0
Identifiant,0.0
Description_st,0.0
Description_une,0.0
Description_situé,0.0
Description_si,0.0
Description_ses,0.0
Description_se,0.0
Description_salon,0.0
Description_salle,0.0
Description_saint,0.0
Description_sont,0.0
Description_voiture,0.0
Description_ville,0.0
reglement_interieur_14,0.0
reglement_interieur_ans,0.0
reglement_interieur_animaux,0.0
reglement_interieur_acceptés,0.0
reglement_interieur_30,0.0
reglement_interieur_20,0.0
reglement_interieur_17,0.0
reglement_interieur_16,0.0
reglement_interieur_15,0.0
reglement_interieur_12,0.0
Description_restaurants,0.0
reglement_interieur_00,0.0
Description_étage,0.0
Description_équipée,0.0
Description_également,0.0
Description_échanges,0.0
Description_voyageurs,0.0
Description_vous,0.0
Description_votre,0.0
Description_rue,0.0
Description_que,0.0
Description_remarques,0.0
Description_la,0.0
Description_maison,0.0
Description_mais,0.0
Description_logement,0.0
Description_lit,0.0
Description_linge,0.0
Description_ligne,0.0
Description_les,0.0
Description_le,0.0
Description_jean,0.0
Description_minutes,0.0
Description_je,0.0
Description_jardin,0.0
Description_immeuble,0.0
Description_il,0.0
Description_grande,0.0
Description_grand,0.0
Description_gare,0.0
Description_faire,0.0
Description_min,0.0
Description_mon,0.0
Description_qui,0.0
Description_place,0.0
reglement_interieur_appartement,0.0
Description_quartier,0.0
Description_quais,0.0
Description_proximité,0.0
Description_proche,0.0
Description_pour,0.0
Description_plus,0.0
Description_plein,0.0
Description_pierre,0.0
Description_notre,0.0
Description_pied,0.0
Description_petit,0.0
Description_personnes,0.0
Description_pas,0.0
Description_parking,0.0
Description_par,0.0
Description_ou,0.0
Description_nous,0.0
reglement_interieur_apartment,0.0
reglement_interieur_au,0.0
reglement_interieur_après,0.0
reglement_interieur_nous,0.0
reglement_interieur_pour,0.0
reglement_interieur_possible,0.0
reglement_interieur_possibilité,0.0
reglement_interieur_plus,0.0
reglement_interieur_personnes,0.0
reglement_interieur_pas,0.0
reglement_interieur_par,0.0
reglement_interieur_ou,0.0
reglement_interieur_nos,0.0
reglement_interieur_propre,0.0
reglement_interieur_non,0.0
reglement_interieur_nombre,0.0
reglement_interieur_ni,0.0
reglement_interieur_ne,0.0
reglement_interieur_même,0.0
reglement_interieur_ménage,0.0
reglement_interieur_merci,0.0
reglement_interieur_maison,0.0
reglement_interieur_pourra,0.0
reglement_interieur_propreté,0.0
reglement_interieur_arrivée,0.0
reglement_interieur_sont,0.0
reglement_interieur_état,0.0
reglement_interieur_vous,0.0
reglement_interieur_votre,0.0
reglement_interieur_voisinage,0.0
reglement_interieur_une,0.0
reglement_interieur_séjour,0.0
reglement_interieur_sur,0.0
reglement_interieur_supplément,0.0
reglement_interieur_soirée,0.0
reglement_interieur_qu,0.0
reglement_interieur_si,0.0
reglement_interieur_sera,0.0
reglement_interieur_se,0.0
reglement_interieur_retard,0.0
reglement_interieur_respecter,0.0
reglement_interieur_respect,0.0
reglement_interieur_qui,0.0
reglement_interieur_que,0.0
reglement_interieur_mais,0.0
reglement_interieur_logement,0.0
reglement_interieur_location,0.0
reglement_interieur_ce,0.0
reglement_interieur_donc,0.0
reglement_interieur_doit,0.0
reglement_interieur_disposition,0.0
reglement_interieur_des,0.0
reglement_interieur_demande,0.0
reglement_interieur_dans,0.0
reglement_interieur_convient,0.0
reglement_interieur_contrat,0.0
reglement_interieur_cas,0.0
reglement_interieur_locataire,0.0
reglement_interieur_bébés,0.0
reglement_interieur_bordeaux,0.0
reglement_interieur_bien,0.0
reglement_interieur_avec,0.0
reglement_interieur_avant,0.0
reglement_interieur_aux,0.0
reglement_interieur_autrement,0.0
Description_est,0.0
reglement_interieur_départ,0.0
reglement_interieur_en,0.0
reglement_interieur_enfants,0.0
reglement_interieur_entrée,0.0
reglement_interieur_lieux,0.0
reglement_interieur_les,0.0
reglement_interieur_le,0.0
reglement_interieur_la,0.0
reglement_interieur_je,0.0
reglement_interieur_immeuble,0.0
reglement_interieur_ils,0.0
reglement_interieur_il,0.0
reglement_interieur_heure,0.0
reglement_interieur_fête,0.0
reglement_interieur_fumeurs,0.0
reglement_interieur_fumeur,0.0
reglement_interieur_fumer,0.0
reglement_interieur_fait,0.0
reglement_interieur_faire,0.0
reglement_interieur_et,0.0
reglement_interieur_est,0.0
Description_et,0.0
Description_disposition,0.0
Description_en,0.0
Titre_appt,0.0
Titre_bel,0.0
Titre_beau,0.0
Titre_bdx,0.0
Titre_balcon,0.0
Titre_avec,0.0
Titre_aux,0.0
Titre_au,0.0
Titre_apt,0.0
Titre_appartement,0.0
Titre_bis,0.0
Titre_appart,0.0
Titre_ancien,0.0
Titre_agréable,0.0
Titre_2016,0.0
duree_minimale_sejour,0.0
conditions_annulation,0.0
Caution,0.0
frais_menage,0.0
Titre_belle,0.0
Titre_bordeaux,0.0
Titre_echoppe,0.0
Titre_coeur,0.0
Titre_du,0.0
Titre_double,0.0
Titre_des,0.0
Titre_dans,0.0
Titre_cœur,0.0
Titre_cosy,0.0
Titre_confortable,0.0
Titre_confort,0.0
Titre_chartrons,0.0
Titre_bordelais,0.0
Titre_charme,0.0
Titre_charmant,0.0
Titre_chambres,0.0
Titre_chambre,0.0
Titre_centre,0.0
Titre_center,0.0
Titre_calme,0.0
Titre_bordelaise,0.0
surcout_voyageur_supp,0.0
reduction_mois,0.0
rection_semaine,0.0
produits_base,0.0
petit_dejeuner,0.0
television_cable,0.0
wifi,0.0
parking_sur-place,0.0
seche_linge,0.0
machine_laver,0.0
Climatisation,0.0
Chauffage,0.0
television,0.0
porte_chambre_verrou,0.0
Internet,0.0
Cuisine,0.0
Animal_sur_place,0.0
type_lit,0.0
type_propriete,0.0
NbLits,0.0
NombreSdB,0.0
Longitude,0.0
animaux_acceptes,0.0
pourEnfants_famille,0.0
adapte_evenements,0.0
logement_fumeur,0.0
extincteur,0.0
fiche_securite,0.0
kit_secours,0.0
monoxyde_carbone_detect,0.0
detecteur_fumee,0.0
espace_travail_ordi,0.0
seche_cheveux,0.0
fer_repasser,0.0
Cintres,0.0
Entree_24-24,0.0
salle_sport,0.0
Jacuzzi,0.0
Portier,0.0
Interphone,0.0
cheminee_interieur,0.0
Ascenseur,0.0
accessibilite,0.0
Titre_duplex,0.0
Titre_en,0.0
Description_du,0.0
Titre_tram,0.0
Description_10,0.0
Titre_échoppe,0.0
Titre_vue,0.0
Titre_ville,0.0
Titre_victoire,0.0
Titre_une,0.0
Titre_très,0.0
Titre_triangle,0.0
Titre_tout,0.0
Description_appartement,0.0
Titre_terrasse,0.0
Titre_t4,0.0
Titre_t3,0.0
Titre_t2,0.0
Titre_t1,0.0
Titre_sur,0.0
Titre_superbe,0.0
Titre_studio,0.0
Description_accès,0.0
Description_arrêt,0.0
Titre_et,0.0
Description_ce,0.0
Latitude,0.0
Description_deux,0.0
Description_depuis,0.0
Description_dans,0.0
Description_cuisine,0.0
Description_commerces,0.0
Description_chambre,0.0
Description_centre,0.0
Description_calme,0.0
Description_au,0.0
Description_bus,0.0
Description_bordeaux,0.0
Description_bien,0.0
Description_bain,0.0
Description_aéroport,0.0
Description_avec,0.0
Description_aux,0.0
Description_autres,0.0
Titre_st,0.0
Titre_spacieux,0.0
Titre_sdb,0.0
Titre_jardin,0.0
Titre_lumineux,0.0
Titre_loft,0.0
Titre_les,0.0
Titre_le,0.0
Titre_la,0.0
Titre_jolie,0.0
Titre_joli,0.0
Titre_jean,0.0
Titre_hypercentre,0.0
Titre_salle,0.0
Titre_hyper,0.0
Titre_historique,0.0
Titre_grande,0.0
Titre_grand,0.0
Titre_gare,0.0
Titre_gambetta,0.0
Titre_flat,0.0
Titre_euro,0.0
Titre_m2,0.0
Titre_maison,0.0
Titre_michel,0.0
Titre_neuf,0.0
Titre_saint,0.0
Titre_rénové,0.0
Titre_rue,0.0
Titre_quartier,0.0
Titre_quais,0.0
Titre_public,0.0
Titre_proche,0.0
Titre_privée,0.0
Titre_pour,0.0
Titre_plein,0.0
Titre_place,0.0
Titre_pièces,0.0
Titre_piscine,0.0
Titre_pierre,0.0
Titre_petit,0.0
Titre_personnes,0.0
Titre_parking,0.0
reglement_interieur_être,0.0
