,0,1,2,3
intercept,-0.44666153370250805,-3.345330530980032,2.0246894459753344,1.7673026187071308
filtre,-0.08881867815386364,0.1547537220193157,-0.017825477012022854,-0.048109566853429535
latitude,-0.014125165786328905,-0.07357538058553388,0.04446553395588655,0.043235012415972024
longitude,0.030021440940541374,-0.06247266265470776,0.04001177051108362,-0.007560548796914982
has_agrement,-0.13403184897485093,-0.44163736561470174,0.1264738745534569,0.4491953400361072
dept,-0.029175748883046682,0.07839513326399387,-0.04356386594838035,-0.005655518432569278
year,0.2547942577223608,-0.015880565366565482,-0.1868561831741093,-0.05205750918168907
month,0.28245617370020376,-0.07190795270580393,-0.10116804218959245,-0.10938017880480727
weekday,-0.09933113361410759,0.10642181431338185,-0.00852444314878377,0.0014337624495097808
count_controls_dept,-0.17534614796051637,-0.3594129560241483,0.24354476845523804,0.29121433552942855
score_controls_dept,-0.23215145704609763,-0.3750715167619348,0.027323326349097864,0.5798996474589331
count_controls_filtre,0.07622353716578648,0.04956195968977879,-0.0335538536320159,-0.09223164322354661
score_controls_filtre,-0.2616441846198785,-0.427334883907709,0.16115411468714183,0.5278249538404471
count_controls_activite,-0.0027105892316172694,-0.7594097848961888,0.22234958254217121,0.5397707915856362
score_controls_activite,-0.1368137246060356,-0.30772030395298866,0.021803834886211442,0.422730193672816
count_controls_wday,-0.09030179489804893,0.26913453556205247,-0.10200497224677307,-0.07682776841723782
score_controls_wday,-0.049503949133216256,0.061696110386933935,-0.011846719566124458,-0.0003454416875894243
