resource_id,has_label,title,description,topic,task,nb_lines,nb_features,missing_cells_pct,target_variable,model_metric,best_value,best_model,dgf_dataset_url,dgf_resource_url,automl_url,profile_url,dict_url,etalab_xp_url,external_xp_url
123e1c18-37e0-4147-ad65-768320387800,True,Airbnb Bordeaux,Liste des logements Airbnb proposés à Bordeaux.,Logement,Regression,5237,61,3,PrixNuitee,r2,0.656875,Ensemble,https://www.data.gouv.fr/fr/datasets/liste-des-logements-proposes-en-airbnb-sur-bordeaux-2/,https://www.data.gouv.fr/fr/datasets/r/123e1c18-37e0-4147-ad65-768320387800,https://etalab-ia.github.io/open_ML/automodels/AutoML_airbnb/README.html,https://etalab-ia.github.io/open_ML/profilings/data_airbnb.html,,,
,True,Données carroyées,Données du dispositif sur les revenus localisés fiscaux et sociaux (FiLoSoFi) de la France Métropolitaine.,Démographie/Société,Regression,142921,31,0,Log_soc,r2,0.946354,Linear Regression,https://www.data.gouv.fr/en/datasets/donnees-carroyees-issues-du-dispositif-sur-les-revenus-localises-fiscaux-et-sociaux-filosofi/,https://www.insee.fr/fr/statistiques/fichier/4176281/Filosofi2015_carreaux_niveau_naturel_csv.zip,https://etalab-ia.github.io/open_ML/automodels/AutoML_donn_carr/README.html,https://etalab-ia.github.io/open_ML/profilings/donnes_carroyees.html,https://www.insee.fr/fr/statistiques/4176281?sommaire=4176305#dictionnaire,,
6ff09b59-84ca-4346-a8d1-3587ed94da15,True,Emissions véhicules (2013),Emissions des polluants de l’air des véhicules commercialisés en France en 2013,Environnement,Regression,44850,26,4.2,CO2,r2,0.998739,Default_Xgboost,https://www.data.gouv.fr/en/datasets/emissions-de-co2-et-de-polluants-des-vehicules-commercialises-en-france/,https://www.data.gouv.fr/fr/datasets/r/6ff09b59-84ca-4346-a8d1-3587ed94da15,https://etalab-ia.github.io/open_ML/automodels/AutoML_emiss_veh/README.html,https://etalab-ia.github.io/open_ML/profilings/emissions_vehicules_2013.html,https://www.data.gouv.fr/fr/datasets/r/e4ed13fe-a8c3-41fb-b9a6-73f73da6dc2b,,
e22ba475-45a3-46ac-a0f7-9ca9ed1e283a,True,Accidents routiers,Accidents corporels de la circulation en France et dans les DOM-TOM en 2019,Sécurité,Classification,253488,56,7.1,grav,accuracy,0.764817,Ensemble,https://www.data.gouv.fr/en/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2019/,https://www.data.gouv.fr/fr/datasets/r/e22ba475-45a3-46ac-a0f7-9ca9ed1e283a,https://etalab-ia.github.io/open_ML/automodels/AutoML_accidents_html/README.html,https://etalab-ia.github.io/open_ML/profilings/accidents_routiers.html,https://www.data.gouv.fr/fr/datasets/r/6cade01c-f69d-4779-b0a4-20606069888f,,
c763b24a-a0fe-4e77-9586-3d5453c631cd,True,Agrybalise,Indicateurs d'impacts environnementaux des produits agricoles produits en France et des produits alimentaires consommés en France.,Alimentation,Regression,2479,27,0.1,DQR - Note de qualité de la donnée,r2,0.710351,Ensemble,https://www.data.gouv.fr/en/datasets/agribalyse-r-detail-par-ingredient/,https://www.data.gouv.fr/fr/datasets/r/c763b24a-a0fe-4e77-9586-3d5453c631cd,https://etalab-ia.github.io/open_ML/automodels/AutoML_agribalyse/README.html ,https://etalab-ia.github.io/open_ML/profilings/impacte_aliments.html,,,
90a98de0-f562-4328-aa16-fe0dd1dca60f,True,Demande valeurs foncieres,Transactions immobilières intervenues au cours des cinq dernières années sur le territoire métropolitain et les DOM-TOM. Dataset de la France Metropolitaine.,Logement,Regression,827105,43,56.1,valeur fonciere,r2,0.339495,Decision Tree,https://www.data.gouv.fr/en/datasets/demandes-de-valeurs-foncieres/,https://www.data.gouv.fr/fr/datasets/r/90a98de0-f562-4328-aa16-fe0dd1dca60f,https://github.com/etalab-ia/open_ML/blob/main/docs/automodels/AutoML_dvf_no/README.md,https://etalab-ia.github.io/open_ML/profilings/90a98de0-f562-4328-aa16-fe0dd1dca60f.html,https://www.data.gouv.fr/fr/datasets/r/d573456c-76eb-4276-b91c-e6b9c89d6656,,
ce203343-6ed9-4fd3-b310-e553ae437f6d,True,Concentration horaire des polluants,Concentrations moyennes horaires des principaux polluants réglementés dans l'air sur la région Centre-Val de Loire.,Environnement,Regression,946,18,0,valeur,r2,0.834802,Ensemble,https://www.data.gouv.fr/en/datasets/concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-centre-val-de-loire-2/,https://www.data.gouv.fr/fr/datasets/r/ce203343-6ed9-4fd3-b310-e553ae437f6d,https://etalab-ia.github.io/open_ML/automodels/AutoML_conc_poll_reg/README.html,https://etalab-ia.github.io/open_ML/profilings/concentration_pollution.html,,,
ce203343-6ed9-4fd3-b310-e553ae437f6d,True,Concentration horaire des polluants,Concentrations moyennes horaires des principaux polluants réglementés dans l'air sur la région Centre-Val de Loire.,Environnement,Classification,946,18,0,nom_poll,accuracy,0.605714,Ensemble,https://www.data.gouv.fr/en/datasets/concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-centre-val-de-loire-2/,https://www.data.gouv.fr/fr/datasets/r/ce203343-6ed9-4fd3-b310-e553ae437f6d,https://etalab-ia.github.io/open_ML/automodels/AutoML_conc_poll_class/README.html,https://etalab-ia.github.io/open_ML/profilings/concentration_pollution.html,,,
fff0cc27-977b-40d5-9c11-f7e4e79a0b72,True,Alim’confiance,Résultat des contrôles officiels en sécurité sanitaire des aliments réalisés dans tous les établissements de la chaîne alimentaire ,Alimentation,Classification,29794,13,0.1,Synthese_eval_sanit,accuracy,0.6490019,Ensemble,https://www.data.gouv.fr/en/datasets/resultats-des-controles-officiels-sanitaires-dispositif-dinformation-alimconfiance/,https://www.data.gouv.fr/fr/datasets/r/fff0cc27-977b-40d5-9c11-f7e4e79a0b72,https://etalab-ia.github.io/open_ML/automodels/AutoML_alimconf/README.html,https://etalab-ia.github.io/open_ML/profilings/fff0cc27-977b-40d5-9c11-f7e4e79a0b72.html,,,
96f4164d-956d-4c1c-b161-68724eb0ccdc,True,Arbres urbains,Informations sur la localisation et l’état de santé du patrimoine arboré de la commune de Saint-Germain-en-Laye. ,Environnement,Classification,709,57,16.2,classification_diagnostic,accuracy,0.901408,Ensemble,https://www.data.gouv.fr/fr/datasets/arbres-urbains/,https://www.data.gouv.fr/fr/datasets/r/96f4164d-956d-4c1c-b161-68724eb0ccdc,https://etalab-ia.github.io/open_ML/automodels/AutoML_arbres/README.html,https://etalab-ia.github.io/open_ML/profilings/arbres_urbains.html,https://www.data.gouv.fr/fr/datasets/r/feced38e-ca55-43a0-983b-6db0e2632c02,,
